subject,content,copy_recipient,recipient,sender
 新莊停電,我在副都心這邊 然後也停電了  他媽的智障台女主婦聯盟 快用愛發電阿  支持核電還被教訓 有夠衰  鬼島被台女弄到爛掉  超  ,狼狼&燐恩、羅仁鴻、hao chang,狼狼&燐恩,cjmwwuh
[新聞] 回力鏢？黃國昌酸民進黨與黑道掛勾 「孟,1.媒體來源:  新頭殼  2.記者署名:  曾品潔  3.完整新聞標題:  回力鏢？,,黃彥彰,JaJa的奇妙邏輯 _YT_
 新手釣魚適合從路亞釣開始嗎,如題  最近買了根釣竿 都釣沉底的  釣個幾次覺得好無聊  有魚是有魚 但是沒有那種跟魚智鬥的感覺  後來買了毛鉤 才慢慢有打遊戲那種釣魚的感覺  看人家影片 好像蠻多人在釣路亞的  路亞不必準備髒髒臭臭的餌料  路亞釣到的魚 也比較兇  新手適合玩路亞嗎  對魚 水 竿 餌都還沒研究透徹的情況下  有卦否   -- ,,林阿鋒,Wan Chris
 無法造詞的字,人名地名不算  比如邯鄲 這兩個字只能當地名 沒有其他詞  而鄭這個字 扣掉地名鄭國鄭州 姓氏鄭oo 還有鄭重這個詞  郭有城郭  以下這些常用字除了地名外就不能造詞  邢邵邱郃郢郝郗鄒鄧鄴邯鄲鄺  陝隋  這些字是不是應該廢除來節省unicode數量呢？  簡體字更應該廢除這些字吧？  至少要把部首去掉  例如陝西盩厔縣改成周至縣  郫縣豆瓣醬改成卑縣豆瓣醬  有沒有八卦？  -- ,,雪納瑞,梁升豪
 有需要打第四劑武肺疫苗嗎?,距離武肺第三劑疫苗時間有一陣子了，  一直感覺疫情快過了，但是看電視說明年一月可能會有一坡高峰。  現在有不痛的Novavax可以選，  有需要打第四劑武肺疫苗嗎?  -- ,陳宜軒、Jeffery Chao、余余,是華哥不是華歌爾哦,莊豆油
 儂特利怎麼不見的？,安安午安魯題  儂特利炸物因該還不錯吃  是輸給頂呱呱還小騎士嗎  怎麼沒看見了  有掛嗎 -- ,,楊正彥,WeiHeng
 有沒有感覺台灣人被內外夾攻？,內部有黑道、建商、資本家、政客剝削；外部有中國武力威脅台灣讓我們要一直當兵。  跟中國打起來變成我們被他們推出去當炮灰爭取烙跑時間，打輸打贏他們都賺。  有沒有這方面的八卦？慘！   -- ,,小布,Slim Paint
[新聞] 多圖／吳怡農競選主視覺　切格瓦拉風＋藍粉配色「不要被,八卦是  切格瓦拉唯一有成功的"革命事業"  是跟卡斯楚在一起搞定的古巴革命  在跟著卡斯楚的前後  他其實可以說是一事無成~~  有人說他在玻利維亞的失敗與死亡是老美介入的結果  但其實他在玻利維亞本來就已經快被打趴了  最後的失敗只是時間問題罷了  但仍就是英雄  古人說不以成敗論英雄或是真的有道理的  -- ,Aranlee Wu,魔王子,Hong Fly
 切格瓦拉是幹啥的人啊, 切格瓦拉 好像是一個蠻有名的人  大概就跟瑪麗蓮夢露一樣常常被做成海報或圖T的人吧  我問一下  切格瓦拉是幹什麼的 他是政府官員嗎  他這麼知名應該是有什麼理念吧  譬如抵禦民間黑勢力之類的 對嗎   -- ,凱、林克、JaJa的奇妙邏輯 _YT_,阿兩,Craig
 雞排妹&企鵝妹 語言學校 都幾？,如題  企鵝妹曾來台讀語言學校 ,龍触发兔,井上清水,金宇彬
 孫興慜IG才1000萬人追蹤?,安安  小弟弟我不懂足球  只知道它是世上最受歡迎的運動  足球明星社群追蹤人數都超誇張  剛剛去孫歐爸的IG  發現才10M人數  怎麼會這麼少???  -- ,哈酷那羊馬它它,Hsin Yen Hsieh,diamonddevil
 台灣人是不是犯賤,明明都解禁了  路上還是每個人都戴口罩阿  禁的時候整天叫皮膚會不好 吸不到空氣三小的  解禁後還是乖乖戴阿  是戴口罩長比較好看不敢脫了嗎  還是戴口罩的都是確診的?  -- ,,劉冠卓,Hao He
 韓國吃海鮮很便宜?,  跟團去韓國玩都是吃泡菜 燒肉 烤肉 好像很少吃海鮮  這樣一盤在台灣要多少錢?  看影片資訊寫美金43.4 台幣現在換算大概1300  ,奧茲國的大冰喵,余余,嵛燼
 抖音一響 父母白養,‘’抖音一響 父母白養‘’ 想問一下這句話是為何而來？ 抖音仔是很常在秀下限嗎？ 抖音仔怎麼惹上如此罵名？ 有沒有八卦？？  -- ,廖志、零。。、強襲爵士,Jarvis Hong,YES MY余
 小時候玩過不脫衣服換衣服嗎？,友情提醒 ***推文有惡魔旅館 不要自動開圖*** ***推文有惡魔旅館 不要自動開圖*** ***推文有惡魔旅館 不要自動開圖***  ,,5267 435,火龍果
 路上一堆愛貼前車的八卦？, 剛剛看YT一個國道車禍的影片啦 ,廖志、Su To、Pa Pu,奧茲國的大冰喵,鄭孟勤
[新聞] 殲-16直衝恆春外海空域！　國軍偵獲20架, 殲-16直衝恆春外海空域！　國軍偵獲20架次共機、4艘次共艦擾台 ET-TODAY  記者蘇晏男／台北報導  國防部今（6日）上午指出，昨早6時至今早6時，偵獲共機20架次，其中進入西南及東南空域7架次，包括殲-16機4架次、空警-5001架次、轟-6機2架次，另有共艦4艘次，持續在台海周邊活動。  從國防部公布的航跡示意圖來看，空警-500機跟轟-6機現蹤我國東南方外海，而殲-16機則在大約東沙北方海域上空現蹤後，飛入我方航空識別區，直至恆春南方海域上空後再原路徑折返。  面對上述共機、共艦侵擾，國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。  ,NeetAllen、黑羽望月、小布,Re Re,許智翔
 被性騷擾的人想要怎麼樣被安慰？,年底將至，很多公司開始要辦尾牙了  尾牙大家都喝得爛醉 麻吉難免手會摟來摟去  女孩兒們可能會不小心 被醜同事碰到身體而覺得不適  如果自稱被摸到又沒證據的話  上網討拍時想要怎麼樣被安慰？  急，線上等   -- ,,27嚴承翰,溫蒂
 亞洲發展足球是不是比籃球有搞頭, 不要混血跟歸化的話 就算讓亞洲選手吃禁藥打針 有辦法贏西班牙 澳洲 非洲那些又高又粗的對手嗎 台灣風靡的籃球  從小練到大 要是身高不足185 基本就不用在世界舞台上混了 足球就算身高173也是可以踢很好 加入頂級俱樂部 足球 梅西 球王比利 馬拉杜納身高都不到175 奧運籃球前幾隊平均身高都有2米 有人可能說自己打開心就好 但職業運動終歸是要跟世界其他國家比較的 台灣是不是把體育資源分配錯地方了？ ----- Sent from JPTT on my iPhone  -- ,,香酥派,YES MY余
[新聞] 蔣萬安上任如履薄冰？ 游淑慧稱傻眼：柯, 沒有比較沒有傷害  當年柯文哲選上後  就是我當選就一力承擔的態度  不管有提到的交接項目  或沒提到的項目都一樣  繼續接手做  甚至在此之上增加更多項目  相較之下  交接給蔣萬安才剛第一天  就有長輩出來可憐自己的小寶貝  我家寶貝很怕生  一下子怪題目講太少  一下子怪課程量太多  妳家小寶貝可是要執政台北市  而不是第一天上幼稚園  ----- Sent from JPTT on my iPhone  -- ,,Derek871,高雄阿猛
 food熊貓開放快遞功能？（台北）,如題 剛發現food熊貓開放快遞功能（台北） ,,金宇彬,廖志
 那隻貓的言論很重要？,那隻貓仔喵喵叫什麼很重要嗎？  他是總統嗎？  他是議員嗎？  他是國政機要嗎？  他什麼都不是 只是一隻偽裝的貓  那你們幹嘛要浪費版面報導？強迫人民吸收沒用的言論與資訊  那隻貓 喵喵叫了什麼到底乾我屁事？  乾我屁事？  乾人民屁事？  你他媽一直翻譯他在喵喵叫什麼到底是怎樣？  到底乾人民屁事啊？  不要報導強迫我吸收垃圾資訊好嗎？  不要逼我刪除ptt app  不要逼我把有線電視退掉  噁心  令人噁心  噁貓喵喵叫到底乾我屁事？ 我不想知道也不需要你浪費力氣翻譯他在喵喵叫什麼  真是受不了   有沒有很多熱心的人喜歡翻譯噁貓在喵喵叫什麼的掛？  -- ,D DCCC、YKX _,Kobe,奧茲國的大冰喵
[新聞] 量產三軍各型飛彈有成 中科院首度獲列全,  1.媒體來源: 自由   2.記者署名: 羅添斌  3.完整新聞標題:  量產三軍各型飛彈有成 中科院首度獲列全球百大國防工業  4.完整新聞內文:  ,哈酷那羊馬它它、diamonddevil,台灣黑熊-Taiwan,ININ!
 陸妹也漲太兇了吧？,欸欸。  漲幅太高惹吧！！！  以前 熟女 2000 - 2500 普妹 2500 - 3500 小模 4000 - 6500  現在 老妹 2500 up 普妹 3500 - 4500 up 小模 6500 up  而且服務越來越隨便...  漲太兇了吧。  現在景氣也太好了吧！！！  怕爆........   -- ,,The Hong小魯蛇的脫貧日記,葉德瑞
 台積電也會收走美國員工的手機嗎,餓死抬頭 護國神山台積電掌握全球晶片 的究極機密，因此很注重保密防諜 員工都只能用公司發的公務機 不過現在台積電去美國了 是不是也對美國爸爸比照辦理啊 還是只有背骨台勞需要這樣管？  乾五八卦  -- ,Mars,熟成醤油,neko fake
 網站頁面通常會在什麼時候更新？, 一間知名公司，通常會架自己公司官網， 並在其官網裡面專門放一頁介紹自己的執行長。  有間公司，其執行長在 11/26(六) 的晚上特地招開記者會， 念了一下"即刻起辭去自己執行長"的職務 之後就結束記者會了。  但到了現在，我看那間公司網站上面，關於執行長職位介紹的欄位， 其那個"即刻起辭去自己執行長"的前執行長的名字仍持續高高掛， 沒有被撤掉，也沒有拿代理的執行長資料來更新。  然後拿桃園市政府 — 市長介紹，單純來當對照組。 然後拿桃園市政府 — 市長介紹，單純來當對照組。 然後拿桃園市政府 — 市長介紹，單純來當對照組。  桃園市政府 官網 首頁 > 市府介紹 > 市長 的頁面裡面， 原本有把 鄭文燦市長的 前台灣大學國家發展研究所碩士 學歷放在上面， ,楊正彥、蘇兆民,以翔旋風,TURN WANG
 日本&南韓誰回國會受到英雄式歡呼？,如題 亞洲足球雙雄 日本跟南韓 紛紛在十六強賽中 雙雙落敗 是說這兩國球員回國 都會有英雄式歡呼嗎 有沒有八卦  *[32m※ 八卦板務請到 GossipPicket 檢舉板實名詢問*[m *[32m※ a.張貼問卦請注意，充實文章內容、*[1;33m是否有專板*[;32;40m，*[1;35m本板 *[32m※ b.一天只能張貼 "*[1;33m三則*[;32;40m" 問卦，*[1;36m自刪及被刪也算三篇之 *[32m※   超貼者將被水桶，請注意!*[m *[32m※ c.*[1;33;44m本看板嚴格禁止政治問卦*[;32;40m，*[1;36;41m發文問卦前請先仔 *[32m※ d.*[1;37;41m未滿30繁體中文字水桶1個月*[m *[32m※   *[1;37;41m未滿20繁體中文字水桶2個月*[m *[32m※   *[1;37;41m未滿10繁體中文字水桶3個月，嚴重者以鬧板論*[;32;40m，請注意? *[32m※ (↑看完提醒請刪除ctrl + y)*[m  -- ,阿浪、神奇鹿,龍触发兔,小布
 有推薦的外送茶APP嗎？,就跟一般的外送平台APP一樣  喜歡哪位小哥就點下去  時間地點都列出來自己選  想玩多久要加什麼服務都自己按  綁信用卡直接付款還能集點  為什麼外送茶行業沒有這麼方便的APP能用？   ---- Sent from my Apple Watch Ultra  -- ,,YuLung Chen,Re Re
 唉唉，當你司馬懿是怎麼裝病請假的阿？,我朋友辣  想要裝病請假  可是他老闆好像不相信  請問他應該怎麼作才能騙過去呢？  我感覺當眾尿失禁不錯^_^  -- ,,阿舜,思辰葉
 一隻96元的自動鉛筆，比較好寫？, 剛朋友買了一隻自動鉛筆 竟然要價96元OAO ,ASIEL R、鄭孟勤、Hannibal Hsu,chiu chiu,Hao He
 food熊貓開放快遞功能？（台北）,看起來跟拉拉在搶生意，  雖然拉拉平台操作有夠難用，  但時不時會送折價券，  而且車型選擇更多  也可以代付什麼的，  目前看起來比熊貓方便。  -- ,,粗獷暖男,羅仁鴻
 台灣真的不適合足球嗎？, 台灣籃球爛 可以理解  畢竟身高、身體素質沒其他國家（歐美）好  但足球就跟身高沒關係了吧  矮雖然頭頂球可能不行 但腳法可以練吧？  歐洲 日韓天氣冷 踢足球比較不累？  但巴西等一些中南美洲也超熱  足球一樣強  有八卦？ ----- Sent from JPTT on my iPhone  -- ,,NeetAllen,點點
 反對禁止抖音的鄉民 是什麼心態？, 剛剛看到今天的新聞  公部門要禁止抖音跟小紅書  下面居然有不少鄉民反對  難道這邊真的很多五毛嗎  反對禁止抖音的鄉民 是什麼心態？  有沒有八卦   -- ,,Kumoki雲希,Kobe
 知道萬客隆的都幾歲了?,如題 台灣大賣場的始祖 屌打好市多跟家樂福 以前一樣要會員才能進場 一般平民老百姓還不能進去 可惜沒幾年就從台灣消失了 知道萬客隆的都幾歲了? 肥宅我以前還進去逛過 真的驕傲一輩子 有沒有八卦  -- ,,cjmwwuh,Boris
 為什麼台灣人總覺得運動不強是身體素質問題?,如題  球商觀念這種不用身體素質也能養成的  台灣明明也不如人  棒球 配球控場能力被洋將屌虐  籃球 只會跑快攻投三分 看外援秀 戰術素養低落  足球更不用說  連亞洲人自覺最好的大腦都發揮不了  還談什麼最適合亞洲人身體素質的運動  為什麼台灣人總覺得運動不強是身體素質/人種的問題?  而不是運動的訓練文化有問題ㄚ  -- ,coffee hao,是華哥不是華歌爾哦,Wan Chris
 空污憑什麼收稅?,欸欸 奇怪耶  汽機車你說排廢氣 要收空污稅  啊我住山裡面的 每天製造新鮮氧氣 那怎麼不補助我 空氣清潔費?  要嘛就都不要收 也不要補助  要嘛就使用者付費 把稅金還給山上人家  憑什麼可以無故 收空污稅的卦?  -- ,刀渣版世雄、隱形小自由,海陽,_29 yoyo1103
 國民法官可以嗆職業法官是法匠嗎?,  請問一下  如果擔任國民法官  國民法官跟職業法官應該是平等的吧?   所以國民法官可以嗆職業法官是法匠嗎?  -- ,黑色睡蓮、Wan Chris,Paul Chen,ASIEL R
 日本無現金支付用什麼比較好?,  安安 聽說日本這幾年強力推動無現金支付 除了行動支付以外  傳統的suica icoca在絕大部分的地方都能接收    最好的方式其實就是iphone加suica然後不斷充值suica就好  另外還有信用卡跟提款卡備用    那麼問題來了 日本無現金支付大家都用什麼?  -- ,,sam hoo,熟成醤油
[新聞] 多圖／吳怡農競選主視覺　切格瓦拉風＋藍粉配色「不要被,被徵召：初選機制敗壞 黨推薦：不要被顏色綁架  我很不喜歡用智商測驗來形容選舉 畢竟不管結果如何 都是民主的結果  但你一直講這種白痴話 是想幫我做智商測驗？  還是民進黨支持者 不只不會被顏色綁架  就算書讀的比焦糖多 邏輯比苦無更有條理 只要到了選舉 連智商、邏輯和理智也都不會被綁架阿   ----- Sent from JPTT on my Google Pixel 6.  -- ,Amano Kazuhira、太菲鴨,Patrick Shih,楊梓民
 為什麼很多遊戲沒有性別選項了？,最近玩的新遊戲，創建人物時，很多沒有男性/女性。而是體型1/體型2，然後這兩個各自 代表傳統男性女性的外觀。這是三小啦？  -- ,,Jimmy Good,Rafina
 Ubike累計費用這麼貴喔, 琳老師咧  哥昨天騎Ubike結果忘了還，到今天才發現已經過了20小時了  結果累計費用到了1100多塊錢，嗎咧個蛋  一小時才15塊是怎麼累計到1100的啦  乾五八卦？  -- ,,NeetAllen,Jeffery Chao
 大家寵物都怎取名,各位肥宅兒 女孩兒 安安  素醬的  單身太久  最近養了一隻魚當寵物  是隻 全身紅的 pk鬥魚  各位可以幫忙想個炫炮的名字嗎  洩洩 大家  -- ,劉冠卓,27嚴承翰,威翔王
 缺電 電動車被禁止上路?,肥宅我看到新聞喇 歐洲缺電 電動車被禁止上路 笑死  台灣電力政策 跟歐盟有87%像 要廢核用天然氣風電 所以未來484 今日歐盟 明日台灣呢 買電動車的484很抖 有卦嗎        -- ,Kai、謝恵琪,是華哥不是華歌爾哦,Wan Chris
 在台灣戰交通還是戰政治有意思, 交通跟政治兩個應該是台灣現實生活中很無解的議題  最近一堆行人被撞還有要閃違停的車被輾斃的新聞 其實討論完， 不管是駕駛的心態，還是行人的路權 根本不是你我能改變的吧？  只能持續教育下一代「馬路很危險」、「走路要看車吧」（不是看路）  就跟政治一樣，選誰都一樣 大家還是要上班過生活…   台灣是不是就這樣了… 這輩子只能待在台灣的就這樣了吧？ ----- Sent from JPTT on my iPhone  -- ,Re Re、中林紫,morenove,Hong Fly
 真的有人薪水不到4萬、沒房子、沒存款？,北部來說   現在基本上薪水沒四萬  根本活不下去吧  房租、水電、網路、吃喝娛樂  四萬就沒了  我朋友說他一個月領三萬  開租外面  也太厲害了吧+.+  是不是要很省啊  這樣不會很辛苦嗎  人生幹嘛這麼累...  北部的討論  -- ,beradzeroking、jun wang,Mosquito,阿舜
[新聞] 幼兒園女兒超迷抖音!她挺「全面封殺」憂Y,說父母錯的就不對了  現在幼稚園老師很多自己也沈迷抖音  叫小朋友跳抖音舞配抖音歌的很多…  在學校洗腦成這樣回家難怪吵著看抖音  有小孩的真的要慎選幼稚園啊 ----- Sent from JPTT on my iPhone  -- ,Jarvis Hong、Hao He,5267 435,阿舜
[新聞] 雞排妹公布陳沂門號挨告 雙姝首度法庭相,備註請放最後面 違者新聞文章刪除  1.媒體來源: ,,黃彥彰,威翔王
 現實中三十多歲沒負債的很多嗎,女口是頁  剛看到一則新聞  大略就是三十多歲年輕人 沒有負債的比率才八成  平均每人身上只有十多萬  身價一百萬以上的不到2趴  但我看PTT 年薪百萬的比比皆是  我身邊大多也都三四萬的居多  到底是我的問題 還是同溫層的問題  有卦么  ,Jeffery Chao,哈酷那羊馬它它,cjmwwuh
 反對禁止抖音的鄉民 是什麼心態？,抖音能看到的內容 在YT，FB上，8成也上也都看得到  怎麼不連YT，FB一起禁一禁？ 順便連B站，陸劇也禁一禁  要就做整套 為何提抖音  不就是要跟反中有所連結 真以為人民是白癡嗎？  ,蝦皮、JaJa的奇妙邏輯 _YT_,歌蝸牛,NeetAllen
 通常都怎麼打破階級複製的, 嗨階級複製 常常聽到這個名詞 本肥就在思考 打破階級複製的多嗎 通常都怎麼往上一個階級的 二次投胎嗎  有沒有卦 ----- Sent from JPTT on my iPhone  -- ,,Necron Soo,以翔旋風
 刺蛇為何不好好利用他的身體?,RT 剛下載玩 星海爭霸之怒火燎原  玩蟲族之後發現  刺蛇明明有看似威力強大的爪子 但偏偏要向敵人噴口水??  ,大溪消防分隊桃園市政府、woo wai kian woo wai kian、蘇兆民,Ti an,台灣黑熊-Taiwan
 唸新聞為何會後悔？,連八卦都有一個分類叫「新聞」了， 可見大家對新聞還是有需求的。 如果要在八卦板貼新聞， 貼「綜合報導」可是會被水桶的， 要貼有真人署名報導的新聞。 那問題就來了， 這就代表大家有新聞需求啊！ 為什麼唸新聞的人反而後悔？ 難道不是應該檢討供需與薪資結構嗎？ 有沒有個中八卦？  -- To 小天使: Hey小天使:D ,,雪納瑞,Slim Paint
[新聞] 台積電亞州廠趕2023量產 台籍員工「吃苦,1.媒體來源: udn聯合新聞網  2.記者署名:  特派記者張庭瑜、陳開、劉子為  3.完整新聞標題: 台積電亞州廠趕2023量產 台籍員工「吃苦耐勞」常加班  4.完整新聞內文:  台積電到亞利桑納州（Arizona）設廠，許多台灣員工外派赴美工作，企業管理面臨台灣 風格還是美國風格的抉擇。有內部員工透露，,,Mosquito,Qiu
[新聞] 瑞士缺電危機 特斯拉電動車有可能被禁止, 2022-12-06 11:01 經濟日報／ 編譯 季晶晶／綜合外電  標題： 瑞士缺電危機 特斯拉電動車有可能被禁止上路  全文： 歐洲今年冬天的缺電危機可能影響到特斯拉車主不能開車上路。英國媒體Telegraph報導 ，如果氣溫下降而供暖需求增加，導致電力不足，瑞士可能會禁電動車，屆時特斯拉車主 恐怕要找有傳統燃油汽車的鄰居搭便車。  這對電動車車主和汽車投資人來說是個意外發展。巴隆周刊報導，缺電是因為戰爭——天 然氣變得稀缺且價格飆漲——並非電動車或再生能源的錯。  瑞士在11月下旬起草有關限制和禁止用電的立法，這是一份應急計畫，以防電力供應在一 年之中的最冷月份出現問題。  該計畫將房間供暖、洗衣機/烘乾機的使用、公司行號開暖氣設定的溫度，以及商業設施 是否可以繼續營業，全包括在內。迪斯可舞廳必須儘量將暖氣調到最低，甚至關閉。  電動車主也在管制之列。私人用電動車「絕對必要」時才能上路，例如洽商、購物、宗教 活動和出席法庭聽證會。依電力短缺嚴重程度，限電措施分四階段實施，電動車屬第三階 段。  瑞士混合使用水力發電、核能發電和燃燒化石燃料的傳統發電。前兩者占能源需求最高可 達90%，天然氣在剩餘部分扮演重要角色，尤其是冬季，因為水力發電此時的產出可能下 滑。  天然氣在歐洲很貴，每千立方英呎基準價已漲到40美元，遠高於美國的接近6美元，因為 主要來源是俄羅斯，例如瑞士消耗的天然氣有40%出自俄羅斯，而今，供應和價格都受到 俄烏戰爭的影響。與天然氣相比，石油和汽油可以從俄羅斯以外的許多國家進口。  長遠來看，即使不是全面的、而是部分的電動車禁令，也會影響消費者的購車行為。當然 ，歐洲國家很可能尋求多元化其發電資產，以減少對俄羅斯的依賴。  特斯拉的股價周一下跌6.4%到182.45美元。上述報導和整體股市走勢都可能是原因。標普 500和那斯達克指數分別收跌1.8%和1.9%，而福特和通用汽車分別挫低3.5%和2.8%。   ,,K az,Amano Kazuhira
 騎電動車吸油車廢氣會不爽嗎？,如題  騎電動車好像有一個理由是環保  問題是台灣又沒禁止油車上路 油車也沒禁止製造  那騎電動車吸到油車廢氣會牙起來嗎  把那些不環保的人壓在地上打  -- ,Aranlee Wu,粗獷暖男,羅傑恩
 正忠排骨怎麼變貴了,如提  正忠之前  便當業者「正忠排骨飯」響應政府政策，提出優惠折扣方案，在2月16日至28日之間，便 當商品全折扣5元。稽查小組指出，業者務實經營理念，兼顧民生及善盡企業責任，給予 肯定。  現在怎麼又漲5快了  排骨要100摳  怎麼吃得下去哩  黑胡椒豬排100元感覺縮水了  有掛?  -- ,阿兩、morenove,J maximator,Hao He
 未來如果沒電，廢物政客又要怎麼凹？,看到底下這則報導想到，現在檯面上的政客受的騙神老禿頭的影響，只會凹。如果之後gg新 廠蓋完開始不斷缺電，廢物政客又打算怎麼凹？  ================ 台積電董事長劉德音今（30）日應邀至三三會11月例會演講，據了解，有與會企業在QA時段 表達關心電力議題時，他呼籲要由政府解決這個問題，且眼光要放到五年後的國內電力需求 。  有人在劉德音演講後提問台灣供電問題，他回應說「我不是專業，而是要政府來解決。明年 的電夠不夠已經太晚了，而要關心五年後的電夠不夠」。  -- ,,Necron Soo,黑雅
 休息時間剩3分鐘 要幹嘛,欸欸再3分鐘午休結束就要上班了 要趁現在幹嘛？ 會不會我發完文就13點了 除了發廢文 還有沒有推薦的 八卦？  -- ,,魆影吳,Hsin Yen Hsieh
[新聞] 基努李維上台突「雙膝跪地連磕3次頭」全,1.媒體來源: ettoday  2.記者署名: 劉宛欣  3.完整新聞標題: 基努李維上台突「雙膝跪地連磕3次頭」全場歡呼！　14秒片瘋傳   4.完整新聞內文: 好萊塢影星基努李維（Keanu Reeves）人帥心善，創下種種暖舉卻超低調，時常捐款、致 力於公益活動，好人品眾所皆知。近日他至巴西為明（2023年）年上映的新作品《捍衛任 務4》（John Wick: Chapter 4）做宣傳，期間竟突然跪下向台下影迷們磕頭，讓全場相 當驚訝。  《捍衛任務4》官方推特曬出一段基努李維在巴西宣傳的影片，影片中可以看到他先是雙 手合十向台下觀眾鞠躬，接著竟突然屈膝跪地，雙手也扶著地上磕了3次頭，台下影迷們 熱情歡呼回應，他也在站起來後揮手致意並拿起麥克風說道「OK， OK 謝謝」，該影片上 傳至今已超過330萬點閱，吸引了超過7600次轉貼，引起相當大的迴響。  除了基努李維以外，香港武打巨星甄子丹也參演了《捍衛任務4》，先前在美國聖地牙哥 動漫展（SDCC）上，基努李維驚喜現身，還帶來《捍衛任務4》的首支預告，當中兩人的 打戲刀槍並用，短短幾秒就相當精彩。預告中甄子丹戴著墨鏡，與「殺神」基努李維對打 ，兩人刀槍並用，甄子丹更使出一記飛踢，光是片段就讓人熱血沸騰。《捍衛任務4》預 計明年3月上映。 ,Patrick Shih、葛闢藏鏡人、Neal,5267 435,Jtao
[新聞] FTX破產台灣受災嚴重 藍營智庫：政府無, 1.媒體來源: 中時  2.記者署名: 中時 邱新博  3.完整新聞標題: FTX破產台灣受災嚴重 藍營智庫：政府無法保護受害者  4.完整新聞內文: 世界前3大加密貨幣交易所FTX爆發破產世界，台灣約有15萬人受害，損失金額大約百億美金 ，外界也擔心是加密圈的「雷曼事件」。國民黨智庫主張，政府應該將加密貨幣交易所納管 ，立委吳怡玎則建議，保護好消費者，並落實金融教育以及輔導，鼓勵業者自律。  國民黨智庫今(6)日召開「FTX事件不應被忽視」座談會，由國政會產業暨新創研究中心召集 人簡榮宗主持、立委吳怡玎、國際加密貨幣交易所前董事長吳德威、律師（前金融評議中心 資深專員桂祥晟、FTX事件受害者（損失數百萬美金）黃士楷、台灣區塊鏈大學聯盟理事長 彭少甫與會  國民黨智庫主張，政府應該納管加密貨幣交易所，並把消費者資產與交易所資產分離，採取 信託機制，將加密貨幣存放在「冷錢包」中，交易所應提供儲備證明與第3方審計機制。  簡榮宗表示，日本在2014年發生加密貨幣交易所被駭客入侵事件，2017年即要求所有交易所 需要有金融廳特許執照，因此這次FTX破產事件爆發後，FTX日本就立刻凍結資產，讓消費者 可以拿到錢，美國白宮與國會也有共識，要將加密貨幣交易所納管。而,大溪消防分隊桃園市政府,Kevin Chu,pocket355170
 找不到評論四顆星以上的銀行分行？,銀行員工不是各個郎才女貌彬彬有禮嗎？ 怎麼我Google打開挑要去哪個分行的時候 別說四顆星了連三顆星都沒有！ 有人能分享四顆星以上的分行來看看嗎？ ----- Sent from ,,_29 yoyo1103,Lucifer
 台積敢叫美國人隨時 on call嗎？,記得去年前年18P4 P5新建測試的時候  真的被call到懷疑人生    很好奇台積美國廠是否也讓美國人隨時on call?  有需要隨時準備進Fab? ---- Sent from ,,OldYuanshen,傑森
 雞跟蛋的皮磨傷要看泌尿還是皮膚科,如題 前幾天騎車出去晃晃 晃到了墾丁，晃了一天 回家後發現雞跟蛋還有鼠蹊部 都磨破皮了……尤其是蛋皮的部分 都磨到變黑變粗糙 而且因為有除毛的關係 長出來的毛一直刺傷口…… 搞得我又癢又痛  這樣是要看皮膚科還是泌尿科啊   -- ,D.H.,高皓愷,A7sHeNLe
 女同事午餐只吃一個三角飯糰,欸欸欸  肥宅剛剛在門口碰到女同事  看她手上只拿一個鮪魚飯糰  吃這樣是夠喔==  她也不是瘦到沒有肉那種身材   女同事午餐只吃一個三角飯糰是身體不舒服嗎 有卦？？？  -- ,深作沒有咖啡,大溪消防分隊桃園市政府,x26321558
 現在小孩不玩彈珠惹嗎?,嗨大家午安  本魯失業九年自耕農  八卦廢文大師  今年61  剛剛去國小辦事  剛好遇到小朋友下課  一堆低年級小朋友看到本魯就說老師好  然後走到操場看到小朋友不是在玩躲避球就是玩鞦韆跑步  還有就是跳繩  以前很火紅的彈珠  竟然沒有半個人在玩  這麼快就褪流行了？  有沒有現在彈珠沒人玩的八卦?  -- ,黃新程、信浅野、Amano Kazuhira,Kai,劉冠卓
[新聞] 幼兒園女兒超迷抖音!她挺「全面封殺」憂Y,  先檢討把娛樂產業弄成政治正確產業吧  三金得獎的不能說沒有大眾易上口的作品 但比例多少？  抖音能流行就是作品好記通俗 聽一次記住上口  找間幼稚園 把金曲這五年得獎作品 和抖音熱門歌放一輪 看小孩記得哪首歌 就知道控訴被洗腦 不如檢討自己自以為屌      ,,Mars,鄭世奇
