users,App,Comments,,,,
chia,Tencent QQ,原來大牛哥這麼可愛抽我抽我#國民姑丈#多一點時間陪伴家人,,,,
恩,Brosix,沒笑點也被笑聲搞到快笑死,,,,
TANGSHENG JIN,Line,雲林古坑冰沙咖啡超級超級超級好喝!真的!,,,,
夜野涼,Line,真性情 好笑!!!早該這樣了,,,,
joey tseng,Snapchat,我快笑死了,,,,
Alex SU,Discord,好好笑,,,,
梅小超,Microsoft Teams,我覺得旁邊人的笑聲，是重點,,,,
Debby Chuang,Discord,笑死我了 你那個黃色笑話好好笑 而且好有梗 厲害！,,,,
龔琇宜,Tencent QQ,老公說羅時豐有開新頻道，我一直不以為意，我看了很多年的YT，我也沒有訂閱什麼頻道，平常隨緣看，昨天開始看姑丈的影片真的是很棒，欲罷不能，沒有想到這麽親民，姪子的笑真的很好呀，讓我一直笑出聲的頻道只有羅大哥的，感謝你們的團隊讓現在嚴峻的疫情日子，增添了很多趣味時光，感謝感恩！,,,,
周瑜,Blackberry Messenger,媽呀，救命我一直笑到流淚,,,,
流鼻水,Snapchat,真的太好笑了啦!!! 哈哈哈哈哈,,,,
哲凱 葉,Messenger,羅大哥你的影片很好看超級好看的影片,,,,
Ken Lin,Telegram,有夠好笑,,,,
廷廷,Slack,有夠好笑,,,,
阿侑 James요진,Slack,我雲林人，我驕傲，我抽獎#國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲,,,,
海森來也,Line,被好吃到靠背笑死,,,,
Lin Casper,Messenger,怎麼那麼好笑啦！真的黑馬欸！,,,,
蔬妃,Brosix,哈哈哈笑著看完～～,,,,
黃平安,Microsoft Teams,看到常開黃標，笑到肚子痛,,,,
張家綸,Viber,笑到翻過去,,,,
詹宗毅,Line,做一年那裡好笑到靠北！！！,,,,
Sinney,WhatsApp,用大牛名號招搖撞騙中~笑死#國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲,,,,
stinktofu,Skype,這笑聲太誇張了，喧賓奪主！,,,,
愛是如此,Brosix,太好笑，太晚知道羅大哥有開You tobe了,,,,
王小民,Messenger,大牛果然接地氣，賀甲嘎靠北，哈哈哈！,,,,
葉哲凱,Microsoft Teams,羅大哥的影片很好看,,,,
布丁奶茶,WeChat,真的很好笑 哈哈哈,,,,
TeChun Liang,Discord,侄子的魔性笑聲,,,,
Tsai子琪,Viber,終於有廠商贊助＄了  舊甘心誒,,,,
梁Kanny,Blackberry Messenger,這個笑聲超靠背的......哈哈！聽落揪爽ㄟ,,,,
王楷翔,Tencent QQ,超好笑的,,,,
Tsai子琪,Kakaotalk,現場拍現場輸出毛巾 太讚了,,,,
tina huang,Telegram,羅時豐好好笑,,,,
echo Lin,Brosix,毛巾館導覽小姐好正!!#國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲,,,,
Joseph C,Blackberry Messenger,旁白笑聲真的很魔性。笑死,,,,
凱,Kakaotalk,九十九萬了，這支影片應該是第一個破百萬觀看的,,,,
Charles Chen,WhatsApp,超好笑的！,,,,
哲凱 葉,Viber,很笑的娛樂節目,,,,
皮爾斯,WhatsApp,有夠好笑,,,,
wendy lee,Blackberry Messenger,笑夠沒 我笑到路人以為我家水開了,,,,
Danny Qiu,Snapchat,沒有啦訂閱才兩萬是要收什麼錢還是收了XDDDD變成牛哥街訪美食了會不會被黃標啊,,,,
龍德,Blackberry Messenger,我昨晚就開始緬懷牛編了.因為沒了牛鞭,,,,
林惠珍,Discord,大牛哥好可愛,,,,
Kg Y,Line,攝影師笑聲好魔性,,,,
Odin Weng,Discord,早期毛巾應該還有給鄰居家來幫忙喪事，扛棺材什麼的，出錢出力，方便大家擦汗。,,,,
廖田馨,WeChat,快被黃腔笑死XDD,,,,
寶瑞斯borris,Line,真的笑到中邪,,,,
Jet Fan,WhatsApp,超好笑,,,,
謝小淯,Microsoft Teams,看了很歡樂,,,,
林大偉,Telegram,超好笑的,,,,
張睿宏,Blackberry Messenger,這個應該要紅才對,,,,
紫虎,Slack,太好笑啦XD,,,,
Tzujui Huang,Kakaotalk,太好看了羅時豐的YT,,,,
WH L,Slack,你街訪很強耶哈哈,,,,
跟我趴趴走,Blackberry Messenger,很有趣看了一季覺得笑聲都蓋掉人聲，開車時更無法聽清楚講話內容，建議那罐頭笑聲減少些或小聲一些,,,,
賴麗琦,WhatsApp,超好笑,,,,
CC Chen,Line,笑聲有超越台通,,,,
多多龍,Brosix,乾，真的是很好笑,,,,
林廷,Messenger,超級歡樂的頻道,,,,
caspar chiu,Telegram,太好笑了,,,,
Elis Lu,Telegram,姪子也太會講幹話了吧？！,,,,
黃書麒,Kakaotalk,雲林有你來推廣 真棒哦～（台風 潮流～好看,,,,
Xin-Yi Huang,Telegram,這後製跟旁白笑聲XDD,,,,
Cliff Lan,Line,破百萬點閱啦！！！,,,,
徐緯傑,Line,希望羅大哥能到 三義羅莊米食採訪,,,,
Yanxi Wu,Kakaotalk,一堆幹話，一臉正經講幹話，笑死了,,,,
小語,Microsoft Teams,太好笑了,,,,
jess chen,Blackberry Messenger,恭喜第一隻百萬點閱 ya,,,,
tonyline1061,WeChat,超級好笑,,,,
Muzhi Pang,Slack,背景笑聲太屌了！！哈哈哈,,,,
蘑菇頭,Blackberry Messenger,看到嘴角上揚了！用訂閱來回敬,,,,
Laura Luo,Telegram,跟kid組合應該會瘋狂,,,,
asun861,Line,喜歡大牛哥出外景,,,,
黃孟翔,Slack,很好笑捏,,,,
吳大偉,Telegram,這麼屌的頻道為啥才不到3萬訂閱啊？？,,,,
Kelly Fang,Discord,真的太親民了。,,,,
Liu Alice,Line,笑死了～5:22ㄧ片大草皮，那來的舞台,,,,
愛曉雪,Skype,樂包子，老闆超大器,,,,
Yu Lan,Kakaotalk,旁邊真人罐頭笑聲有點笑超過了,,,,
Rock Chang,Discord,真正的行腳節目,,,,
小新,Viber,超爆笑,,,,
Ramsey,WeChat,羅大哥優秀,,,,
胖咪的日常,Skype,我快笑死了,,,,
Hao,WeChat,靠杯 笑死哈哈哈哈,,,,
崮熊,Line,太好笑ㄌ,,,,
qqw0327,Slack,真的快笑死,,,,
甜檸檬,Tencent QQ,好好笑哦,,,,
鄭餅乾,Snapchat,台中大雅榕樹下肉圓很好吃老闆也很好笑希望能看到去那,,,,
Larry Liang,Skype,牛哥的頭髮真的很帥很適合,,,,
評論公正,Tencent QQ,怎麼會那麼好笑啦，暗林涼。,,,,
蔡怡芬,Snapchat,好好笑喔,,,,
黃依柔,Viber,最喜歡你的一首歌叫放抹落心，去KTV必點,,,,
黃婕駖,WhatsApp,我笑翻了～,,,,
酷愛爾LIFE,Microsoft Teams,靠北 從頭笑到尾~~,,,,
reyun liu,Line,笑死,,,,
魂斗羅,Viber,哈哈 幹炒死了 不能降一下音量嗎？ 是特笑幾秒按一次 好好聽 牛哥講話,,,,
Lungyu Lin,Tencent QQ,快被笑死,,,,
只是好玩,Line,被演算法帶過來了...笑死我了,,,,
justlinkuandme,Viber,包子店老闆好大方，下次要去捧場一下,,,,
MaLi隔壁,Viber,從頭笑到尾……,,,,
陳建良,Kakaotalk,好笑，但後製的笑聲有點困擾,,,,
Rita_國外第七年,Kakaotalk,應該說台語更有味道,,,,
臺灣五月信,Kakaotalk,太好笑,,,,
海草,Tencent QQ,老司機遇到老濕機,,,,
黄柏誠,Telegram,想請問可以秋這麼久的秘密是因為大牛比叫懶嗎?#國民姑丈 #多一點時間陪伴家人 #我是牛粉我驕傲,,,,
許飯糰,Blackberry Messenger,後製不錯～但是笑聲的音效太大聲了,,,,
吳宗穎,Messenger,太好笑了,,,,
許峰峰,Slack,羅帥哥，哪時候要來彰化的員林拍片,,,,
coiln5858,WeChat,快笑死了..XD,,,,
Kannka Hann,Blackberry Messenger,笑死,,,,
Choco 君,Discord,每次看館長玩恐怖game都變搞笑game ,,,,
犬夜叉,Messenger,我真的常常被館長笑到岔氣,,,,
不要忘记我之潼,Line,這個遊戲最近很火餒館長真的每一句話都是經典,,,,
Ian Yan,Viber,這影片剪輯的真優質，超好笑哈哈哈哈哈，感謝館長的歡樂與剪輯師的付出,,,,
肉肉,Brosix,12:44 鬆懈後又緊張的表情太經典了,,,,
Sheng guo,Kakaotalk,玩恐怖遊戲就喜歡看阿館那經典的表情(笑死,,,,
卓灏城,Blackberry Messenger,纯路人，第一次看，结果笑到不能自理去，前面还反差萌，像得到一个新玩具的小孩，我已经笑到不懂说什么了,,,,
外來物,Viber,館長每次玩遊戲，我都很開心，認真,,,,
水電,WhatsApp,從頭笑到尾，敬佩館長有勇氣玩這個遊戲,,,,
龍神の剣を喰らえ,Tencent QQ,看館長玩遊戲好療癒,,,,
莫拉克,Snapchat,看館長玩遊戲真的很好笑！不過這個遊戲也太恐怖了吧！,,,,
wuuuu.,Skype,真的覺得館長玩恐怖遊戲反應很可愛  哈哈哈哈 也很笑,,,,
野兔騎士,Discord,這個沒笑對不起自己XD,,,,
妘狘,Skype,阿館玩遊戲遊戲總是可以讓我笑到一個不行,,,,
gihung Chen,Blackberry Messenger,看阿館玩遊戲就是療愈～,,,,
練兩肢壯三肢的洨餅乾,Slack,真的很喜歡看阿館玩恐怖遊戲,,,,
把我放在你猩裡,Telegram,天啊，我快被笑死了哈哈，館長的膽量我真佩服，要是我早就不敢玩了,,,,
Sydney Li,Skype,手居然会被卡在里面我真的快笑到缺氧XD,,,,
吳傑利,Blackberry Messenger,阿館玩遊真的好看好笑！超喜歡的,,,,
ken light,Blackberry Messenger,每次看館長玩恐怖遊戲 都特別好笑,,,,
辰安小毛頭,WeChat,我快被館長笑死，好好的恐怖遊戲變得超好笑,,,,
劉大人,Microsoft Teams,阿館玩恐怖遊戲被鬼追真的是收視保證,,,,
樂樂,Telegram,看你的影片我真的會被笑死館長好好笑,,,,
Matt Daemon,Blackberry Messenger,馆长真的很好笑，开心,,,,
人類,Discord,每次看館長玩遊戲都會笑死欸,,,,
Kat did Ng,Slack,馆长介绍游戏太搞笑了！看了真想玩,,,,
蔡嘉霖,Brosix,館長玩遊戲怎麼那麼好笑,,,,
Eric Kuo,Microsoft Teams,逃命最後那個館長手都放下來結果看到Huggy在破門才發覺大事不妙的表情真好笑www,,,,
大蟒蛇,WhatsApp,手卡住是真的會笑死XD,,,,
區比視角,Kakaotalk,館長實在太可愛了,,,,
婕瑀 吳,Telegram,超喜歡看館長打遊係,,,,
BaiLi Lin,WhatsApp,每天都看一次 乾真的超好笑XD,,,,
鋪丁爹斯,Skype,看館長玩恐怖遊戲真的會笑到黑菇,,,,
希希哈哈,Kakaotalk,看館長玩都不恐怖了,,,,
風 喬,WeChat,啊館還用手推他試著反抗超好笑,,,,
lapfung ko,Skype,這個遊戲最近很火餒館長真的每一句話都是經典,,,,
雅雅,Kakaotalk,笑死，每次看到館長玩恐怖遊戲，我都被逗笑了,,,,
滿月,Discord,每次看館長玩遊戲都可以笑到併軌,,,,
Anthony Kuo,WhatsApp,手被夾住真的有夠好笑,,,,
T God uwu,Snapchat,馆长的表情有够经典XD，辛苦了,,,,
廖泊淳,WhatsApp,怎麼覺得館長可以把恐怖遊戲完成搞笑遊戲XD,,,,
Ruei An Chou,Telegram,路過點進來結果笑到岔氣，看別人玩都超恐怖，怎麼在這裡變很歡樂,,,,
Niner Hung,Messenger,可以把恐怖遊戲變成喜劇遊戲，唯獨館長了！已經10刷了,,,,
吳嘉晟,Telegram,不要激動 冷靜冷靜怎麼恐怖遊戲變歡樂了,,,,
烜烜,Microsoft Teams,我被館長逃跑那一段笑到沒氣，我說是9:00 -9:20 , 10:33 - 10:43, 11:20 , 12:29, 12:42
東把拔,Slack,我最愛看的就是館長玩遊戲，當初就是這樣認識館長的，哈哈,,,,
108c05 06曹心瑜,Blackberry Messenger,快就是緊 緊就是快快笑死我了真是有學問的一句話話說我也被那東西給嚇到了ww,,,,
yong han,WeChat,笑到肚子痛了,,,,
TiTi.ଳ,Discord,月事期間不要看館長玩恐怖遊戲，會血崩XDDDD,,,,
陳佳和,Viber,館長玩恐怖遊戲玩到我覺得不恐怖了,,,,
扭扭A,Tencent QQ,半夜看精華 真心要嚇死 ！！！,,,,
QWQ,Kakaotalk,笑到喘不過氣,,,,
Chris,Tencent QQ,最後那畫面真的嚇到阿館了 ,,,,
Em's W,Skype,手夾住笑死我了,,,,
黃珮淇,Line,看了好幾次還是好好笑,,,,
Jean Wu,Viber,抓抓也太可愛笑翻,,,,
劉 凱齡,Skype,館長，你冷靜，哈哈我被你笑到肚子痛,,,,
安妮亞,Snapchat,真的笑到快斷氣,,,,
夜楓yt [正在挑戰222訂閱],Brosix,太棒了 才看到開頭就笑死xd,,,,
澤青,Snapchat,這遊戲真的又恐怖又好笑,,,,
Rickie Thor Chen Wei,Tencent QQ,這個系列笑死我喜歡看這種類,,,,
宛庭ㄛ、,Snapchat,期待下一集,,,,
衛宮切嗣,WeChat,不管看幾次都很好笑,,,,
羡夜祝融,Tencent QQ,看了第四個YT玩這款遊戲，每個都想跟他擊掌,,,,
小龍,Kakaotalk,我真的笑到差點升仙,,,,
胖丁圖一樂,WhatsApp,乾這部怎麼這麼下飯啊  收藏起來之後吃飯沒東西看再回來,,,,
青青迷你黑鬼双鱼,Snapchat,还没开始，我就直接笑了要忍住！！！！！！,,,,
林美麗,Blackberry Messenger,館長玩恐怖遊戲都很好笑,,,,
Seth Nielsen,Snapchat,這遊戲超詭異噁心，但館長超大膽超搞笑,,,,
藍藍路LonaBlue⚡🐑,Skype,嚇到欲哭無淚大狂笑,,,,
Kami,Telegram,一個恐怖遊戲硬是變成搞笑遊戲,,,,
林羿翔,Kakaotalk,12:54那個鬼掉下去的姿勢快笑死,,,,
小林子,Brosix,期待第二集~,,,,
莠藍,WhatsApp,館長太可愛了(⁎⁍̴̛ᴗ⁍̴̛⁎),,,,
Rosso Mature,Line,館長是台灣之光，是台灣人就要支持館長。,,,,
真20高若綺,Messenger,這集館長超ㄎㄧㄤ的(≧▽≦),,,,
傳說菜怡,Messenger,笑聲很魔性,,,,
BIT AM,Snapchat,玩偶摔下去超好笑的,,,,
Peter Tien,WhatsApp,館長說的話都是我心裡想的。不用動嘴就能說話的感覺好好笑,,,,
芳芳Phoebe,Line,館長很適合播遊戲耶,,,,
��𝕝𝕝𝕖𝕟ღ,Snapchat,百看不厭欸好好笑,,,,
山本君先不要,Brosix,自带喜感就是我爱馆长的原因,,,,
FuYao,Tencent QQ,太好笑了,,,,
Joanne Yang,Discord,啊哈哈哈哈哈一直走錯罵髒話 好好笑,,,,
李祥瑋,Brosix,12分44那我差點笑死鬆了一口氣結果玩偶正在破門,,,,
lcw1953,Snapchat,是玩過一些驚悚恐怖遊戲...但比起民眾只是單純地發表一下下自身想法,就被東廠查水表的情況驚悚恐怖!,,,
欣 阿,Slack,一开始的抖抖抖就超爆笑了啦,,,,
萍,Microsoft Teams,好奇這一個一百多萬的觀看進來真的是從頭笑到尾太刺激了,,,,
青青迷你黑鬼双鱼,WhatsApp,太好笑了笑死了,,,,
小牛,Viber,恐怖遊戲最經典了不知道搖桿跟滑鼠每個月要壞幾個,,,,
多多,Brosix,看別人玩都覺得好緊張,,,,
Teh Esther,Blackberry Messenger,我没忍住(ㅇㅅㅇ❀)笑死我了（诶呦肚子疼）,,,,
可憐的荒野日常,Microsoft Teams,我用這部影片去玩8分音符還過了最難的關卡，謝謝你哦（？）,,,,
小鯨魚,Skype,被館長玩過的遊戲感覺都會變超靠北,,,,
一鴻王,Discord,如果怪物真的存在會被阿館捶爛吧,,,,
new peiru,Snapchat,我自己不敢玩就看馆长玩,,,,
草維,Microsoft Teams,怎麼這麼好笑啦,,,,
Yolo small world 21有肉男孩,WhatsApp,超好笑的,,,,
沈洛奇💙💛,Tencent QQ,看馆长玩这类游戏真的，,,,,
抹茶梓妍,WhatsApp,10:50 邊罵邊笑，快被笑死,,,,
Ulana Khomyuk,Slack,哈哈哈哈內心戲太多了吧XD笑死,,,,
我不是很厲害,Tencent QQ,12:44最好笑，以為已經安全了，雙手都離開了,,,,
☆YT巫鬼,Skype,剛跟朋友玩這個我一直亂叫,,,,
彩霞 侯,Brosix,每次有趕羚羊芭都很想笑XD,,,,
郭不點,WeChat,希望能多拍一點,,,,
nana lin,Discord,好好笑請問館長可以玩看看《停電》嗎這個遊戲還沒看到有人出QQ好想看〒_〒,,,,
Mob,Microsoft Teams,可惡被他發現有箱子，不然那邊怪是直接跳臉嚇人的,,,,
Ray Wen,Line,14:25  還是被嚇了一跳,,,,
宗妮娜,Viber,5:45小小年紀［所向無敵］神秘超能力,,,,
Taxi小黃,Slack,想看館長玩第二代,,,,
sam samuel,Viber,好緊張的精彩,,,,
炭筆,Messenger,館長真的很犒笑,,,,
好鳥 您甲,WeChat,阿館笑死我 XD,,,,
愛曉雪,Telegram,笑瘋，門關了 真的很機車，哈哈  阿館很想問一件事，滑鼠一個月換幾顆阿，,,,,
MaPle GD,WhatsApp,這片尾太經典了,一個釣魚耶XD,,,
��𝐴𝑅𝐴𝑇💎,Kakaotalk,我整個影片幾乎都在笑(((o(*ﾟ▽ﾟ*)o))),,,,
陳筠筠,Telegram,Huggy本来是女孩最喜欢的玩偶 可是女孩的父母觉得Huggy配不上女孩 就偷偷把Huggy丢掉 被丢掉的时候Huggy遇到了一个洋娃娃洋娃娃想改造Huggy 但是Huggy不愿意 他还想回女孩身边 想要女孩抱抱他 结果爬上窗户看到的却是女孩爸妈给女孩买了新玩具 是一个大熊Huggy伤心的掉了下去 同意了洋娃娃的改造 他想是不是自己变大了又能重回女孩的怀抱 Huggy进了工厂改造之后他成了会吃人的怪物 这天女孩到了工厂 他被又大嘴角带血的大Huggy追大Huggy想要女孩的抱抱但是女孩吓得一直跑 路上看到了一只小小的Huggy女孩很想念Huggy所以把他抱了起来 继续跑 跑到断掉的路的时候大Huggy掉下去了 女孩看着下坠的大Huggy想起了他就是自己以前最爱的娃娃 然后掉了眼泪 可是Huggy早已不是女孩曾经所熟识的Huggy了,,,,
Rose月玫,Blackberry Messenger,差點笑到掛急診,,,,
小次,Brosix,寶寶精華很讚,,,,
g g,Snapchat,好可愛️,,,,
yt老大2,Viber,12:47是經典,,,,
張奕馨,Discord,這好看，館長你真神   不跑路哈哈,,,,
詹清翔,Blackberry Messenger,阿館玩恐怖遊戲真的沒讓人失望過，哈哈 話說阿館玩的遊戲都是自己選的？還是網友推薦的呀,,,,
陳貞貞,Kakaotalk,手被門夾住那邊真的會笑死,,,,
地渺,Slack,最後一刻小機靈阿館,,,,
CT,Slack,14:25秒經典,,,,
TSUN MAI,Brosix,真的好想看館長玩心動文學社,,,,
sylvi3_Th3_Gh0st,Snapchat,9:01 笑了半天,,,,
劉祐汝,WhatsApp,看了第六個YT玩這款遊戲，每個都想跟他擊掌,,,,
楊元鎮,Skype,太好笑了,,,,
Zhenyou,Viber,這遊戲故事蠻悲慘的,,,,
徐震寰的日常頻道,Line,說好的恐怖遊戲呢被館長一玩直接變搞笑遊戲,,,,
Bn C,Tencent QQ,可怕又好笑,,,,
kate ta m,Tencent QQ,9:17 館長還用紅色小手手打了一下Huggy Wuggy,,,,
枪哥,Blackberry Messenger,好好笑,,,,
泗豪,Line,館長玩遊戲我都很開心，這個影片不笑對不起自己,,,,
BOY,Slack,7:44手夾住笑死,,,,
XG,Brosix,乾真的超好笑,,,,
N N,Messenger,館長好娛樂XD,,,,
文生,Snapchat,恐怖遊戲最好笑,,,,
Teck Leong Lau,Messenger,我一整句一直笑,,,,
愛上Twice一條魚,Snapchat,館長好可愛啊,,,,
啾咪,Slack,訂閱館長就是好選擇(´･ω･`)因為你會笑到沒氣,,,,
Kui LING,WhatsApp,追逐战那边馆长尖叫得我都要笑得断气了,,,,
民國派講政經[反共 保自由 護民主],WhatsApp,有時候館長莫名可愛,,,,
丁丁阿,Blackberry Messenger,09:17 館長雖然嚇尿 但還是試著推手反抗,,,,
William Chou,Kakaotalk,快笑翻了,,,,
郭不點,Slack,笑到我肚子痛,,,,
ike m,Slack,好好笑,,,,
Chang Chang,Blackberry Messenger,我想知道上次那個賣場的續集,,,,
Jinji,Kakaotalk,手被夾住那一part我快笑死,,,,
墨宇🌧️,Blackberry Messenger,沒忍住笑,,,,
若廷ya,WhatsApp,差點笑到往生,,,,
阿不就好Brown Brown,Tencent QQ,恐懼取決於你的火力不足,,,,
-£=爆上天-,Blackberry Messenger,館長玩很好喔？讚。,,,,
皮又秋,Line,館長，第二章出了喔～你應該知道該怎麼做了吧？～,,,,
江善得Sander Chiang,WhatsApp,有沒有下集!!,,,,
Zoey Chen,Blackberry Messenger,有夠好笑,,,,
Estelle ASMR,Viber,嚇死+笑死,,,,
YT演算法大師 一個在頻道穩定前會不斷改名的頻道主 聽說點訂閱的話能一生順遂無比,Slack,9:15 爆笑,,,,
无语 无语,Telegram,超爱馆长玩游戏der。。。。,,,,
Alan Walker is my idol,Microsoft Teams,笑到窒息,,,,
小MI,Messenger,好好笑喔,,,,
xiaopan,Blackberry Messenger,被手夾住了笑到躺在地板上,,,,
星.𐂂,Line,只要是馆长玩恐怖game直接变搞笑game,,,,
楓暖暖,Tencent QQ,完整版去哪看?,,,,
蔡蔡,Slack,我兩次被嚇到尖叫，笑死，這遊戲很可以欸,,,,
open and close,WhatsApp,看别人玩是恐怖游戏看馆长玩是搞笑游戏,,,,
インク猫ت,Line,請原諒我笑到飆淚wwww,,,,
湯圓,Microsoft Teams,我都看過很多別的主播拍 可是我還要看 ,,,,
兩儀弒,WhatsApp,幹～嚇死！這太刺激了啦,,,,
台灣之尺,Skype,我笑到快ㄎㄧˉ笑,,,,
周雨錡,Telegram,快被笑死！一直罵髒話,,,,
在下MiA,Brosix,館長真的超可愛的,,,,
Jack Kwo,Viber,我開頭就笑了,,,,
李好,Microsoft Teams,館長真的嚇到了,,,,
林家右,Slack,爆笑精華,,,,
PuU Jay,Slack,在人群中 館長的影片只需要開一格聲音就足夠了,,,,
JJ囝 - Tak Lee,Blackberry Messenger,抱歉,實在笑死我了,,,
Riko Kuo,Tencent QQ,別人玩是恐怖遊戲 館長玩是爆笑遊戲,,,,
沈昱帆 一帆風順,Brosix,館長哈哈哈哈，好好笑,,,,
玖是要騎車,Kakaotalk,手被門夾住哈哈哈哈，快笑死,,,,
CaiYin.,Microsoft Teams,笑死我了啦,,,,
gina li,Slack,笑死我了,,,,
八辣 黃,Discord,館長你要一直走上面用力,,,,
小兔甜糖♂,Blackberry Messenger,我隔著屏幕都被嚇到 哈哈哈,,,,
teresaresa resa,Skype,笑死我了,,,,
又好像回到从前了,WhatsApp,6:54 真的笑死，兩極反轉的概念◉‿◉,,,,
勇士魂,Tencent QQ,看到流眼淚是正常嗎？,,,,
八辣 黃,Blackberry Messenger,館長我是真的你很努力呀,,,,
伊夏,Line,最後超好笑,,,,
梁.小號,Messenger,超好笑的,,,,
Im blue,Slack,我因為狂笑進了醫院XD,,,,
酪梨avocado,Snapchat,館長好可愛,,,,
mantou,Slack,好好笑 XD,,,,
畫畫的狐狸,WeChat,笑出鵝聲鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝,,,,
翔恩恩,Slack,好好笑阿！,,,,
Margaret winters,WhatsApp,超好笑,,,,
柏傑 黃,Snapchat,好可愛,,,,
Ycc,Viber,年紀到了  感覺快承受不住了  XDDD,,,,
白豬王子個屁,Viber,靠腰笑死人了啦(｡ŏ_ŏ),,,,
ω魂夢,Tencent QQ,笑死 手卡住,,,,
Oppo A31,Blackberry Messenger,太好笑了吧,,,,
火星上の橘貓,Viber,很恐怖的遊戲⋯但是看到館長叫就不恐怖了,,,,
洪雪玉,Discord,笑到快爆了,,,,
E_M:D,Messenger,差點笑到往生了wwww,,,,
黃筌瑋,Messenger,好好笑,,,,
奕柴イチャイ,Kakaotalk,我一直在笑,,,,
阿噗,Line,後面超好笑的,,,,
grizzy and the lemmings李昕,Line,阿館玩恐怖遊戲被鬼追真的是收視保證,,,,
張品世,Snapchat,超好笑啊,,,,
小可愛,Brosix,好好笑,,,,
傑伕,Tencent QQ,有夠好笑,,,,
劉明傑,Brosix,好好笑,,,,
雨芹 宋,Blackberry Messenger,超好笑的,,,,
張琪,Discord,好好笑,,,,
豪,WhatsApp,哈哈被館長笑瘋,,,,
Zhihong Zheng,Discord,擔心館長  陰影面積  笑死,,,,
Xansus Wanka,Line,其實他玩遊戲的樣子還蠻可愛的嘛。唉唷別老是罵粗口嘛。看你玩遊戲就蠻爽的。,,,,
LISA,Snapchat,笑死我,,,,
錒芯,Microsoft Teams,笑到肚子痛XXXXXD,,,,
蕿蕿,Blackberry Messenger,7:46 手居然被門夾住,,,,
RobloxElsa21 Mileyw0218,Snapchat,不好意思我忍住笑死哈哈哈哈哈哈哈哈哈哈哈,,,,
許豪豪,Tencent QQ,笑到蝦姑,,,,
Hong An Lin,Messenger,靠腰 被一開始出來嚇到,,,,
jing chua,Messenger,7:30分超好笑,,,,
無端正,Blackberry Messenger,快就是「緊」，「緊」就是七天,,,,
謝戎戎,Snapchat,下一集什麼時候出來,,,,
陳宣邑,Kakaotalk,笑到我心痛,,,,
小吉,Blackberry Messenger,玩到放棄人生,,,,
羿均 劉,WhatsApp,我是笑到肚子痛XD,,,,
ason E,Blackberry Messenger,幹，手被夾住超好笑,,,,
何t9112066,Slack,哈哈哈快笑死,,,,
つゆりカナヲ,Brosix,一直笑是正常的吧？！,,,,
泧,Snapchat,真的笑死~~~ ,,,,
Sky Liu,Skype,我笑到哭出來,,,,
Siew Ying Ang,Discord,最后差点没笑死,,,,
小小莫提斯的進化之路,WeChat,手被門夾住！！！騷操作啊,,,,
洪雪玉,Kakaotalk,好好笑喔,,,,
雨芹 宋,Snapchat,我快笑死了,,,,
duck duck,Microsoft Teams,吓死欸 同时也笑死,,,,
繪夢,WhatsApp,打BNT爆笑 還手整個抖 痛到w,,,,
黃瑜晟,Viber,館長可以去把箱子集中在出路口引他出來時他會Bug,,,,
廷,WeChat,OK囉這遊戲變搞笑了,,,,
George Wu,Brosix,哈哈館長的影片超好笑,,,,
Dil lon,Blackberry Messenger,館長對上泰臣也不會嚇成這樣XD,,,,
幽默yt,Kakaotalk,笑死我了！,,,,
點點、陳,Slack,笑了啦~~~~~圈粉,,,,
岑岑,WhatsApp,阿館人生已登出,,,,
朱元彬,Skype,我笑死哈哈哈,,,,
Chloe Chen,Tencent QQ,實驗品跑出來，館長沒包好尿布嚇尿,,,,
Mr_corn,Kakaotalk,7:45 手真的快笑死XDD,,,,
kenny wu,WhatsApp,笑死了啦ＸＤ,,,,
黃翊綸,WeChat,從頭笑到尾,,,,
大霉呂,Telegram,快就是緊 緊就是快,,,,
盧小葉,WeChat,館長有被虐傾向,,,,
微辣♡中辣♡想你辣,Viber,好好笑,,,,
柏珅 莊,Messenger,好好笑,,,,
一尾鱒魚,Line,夾手快笑死,,,,
淅子𝚌𝚊𝚗𝚍𝚊𝚌𝚎._♡,Discord,抱歉......我笑出來惹,,,,
Mo7,Microsoft Teams,差點笑到往生,,,,
™風い盈沁☂灰狐ℳ,Brosix,笑死XD,,,,
F̸u̸n̸n̸y̸ g̸i̸r̸l̸☺︎︎,WhatsApp,我笑到肚子痛,,,,
廷,Viber,實測了手機13多分鐘就能完成第一章,,,,
劉康奕,Slack,乾那個臉和撞門的喔干好好笑,,,,
FADE,Discord,好屌,,,,
A7文青好青年,Messenger,靠北！！！！我也被嚇到！！！,,,,
Niko,Telegram,差點笑死,,,,
Asuka,Skype,笑翻了哈哈,,,,
隱行者,WhatsApp,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！館長真的是草俗辣型的啦！,,,,
賴彩綺,WhatsApp,6:30好可愛哈哈哈,,,,
許哲豪,Telegram,開頭笑死XD,,,,
悅月,Blackberry Messenger,笑死,,,,
李沁,WeChat,好厲害,,,,
